Scenario,Split,Model,R2,RMSE
"SKENARIO 1 : (1264,1265,1266) -> 1267",60:40,Linear Regression,0.6293618782111396,0.2322404190652009
"SKENARIO 1 : (1264,1265,1266) -> 1267",60:40,Polynomial Regression,0.9987795928595589,0.013326470224051088
"SKENARIO 1 : (1264,1265,1266) -> 1267",60:40,Random Forest,0.994932794205953,0.027154826642790373
"SKENARIO 1 : (1264,1265,1266) -> 1267",70:30,Linear Regression,0.6217764184375927,0.24008859649327244
"SKENARIO 1 : (1264,1265,1266) -> 1267",70:30,Polynomial Regression,0.9986301192455888,0.014449027363774646
"SKENARIO 1 : (1264,1265,1266) -> 1267",70:30,Random Forest,0.9941256607381992,0.029921044070565693
"SKENARIO 1 : (1264,1265,1266) -> 1267",80:20,Linear Regression,0.6623161646759352,0.22060873012952809
"SKENARIO 1 : (1264,1265,1266) -> 1267",80:20,Polynomial Regression,0.998907862857845,0.012546024965890315
"SKENARIO 1 : (1264,1265,1266) -> 1267",80:20,Random Forest,0.9921916769638645,0.03354644046046564
"SKENARIO 1 : (1264,1265,1266) -> 1267",90:10,Linear Regression,0.6836238968096436,0.21387729846563805
"SKENARIO 1 : (1264,1265,1266) -> 1267",90:10,Polynomial Regression,0.9992802643156994,0.010201155582302909
"SKENARIO 1 : (1264,1265,1266) -> 1267",90:10,Random Forest,0.9866001330569963,0.04401625575434127
